n_dimensions,n_samples,n_neigbors,leaf_size,algorithm,score,time_fit,time_predict
4,2000,3,30,brute,0.737,0.08199930191040039,0.08199930191040039
4,2000,7,30,brute,0.76,0.08099937438964844,0.08099937438964844
4,2000,9,30,brute,0.757,0.08299994468688965,0.08299994468688965
4,2000,27,30,brute,0.761,0.08400177955627441,0.08400177955627441
4,2000,65,30,brute,0.747,0.0989983081817627,0.0989983081817627
4,2000,99,30,brute,0.716,0.08999919891357422,0.08999919891357422
4,2000,3,100,brute,0.737,0.07800126075744629,0.07800126075744629
4,2000,7,100,brute,0.76,0.07899951934814453,0.07899951934814453
4,2000,9,100,brute,0.757,0.08000016212463379,0.08000016212463379
4,2000,27,100,brute,0.761,0.08300042152404785,0.08300042152404785
4,2000,65,100,brute,0.747,0.08900165557861328,0.08900165557861328
4,2000,99,100,brute,0.716,0.09099960327148438,0.09099960327148438
4,4000,3,2,ball_tree,0.745,0.10200285911560059,0.10200285911560059
4,4000,7,2,ball_tree,0.757,0.10799837112426758,0.10799837112426758
4,4000,9,2,ball_tree,0.76,0.10999846458435059,0.10999846458435059
4,4000,27,2,ball_tree,0.7645,0.11999988555908203,0.11999988555908203
4,4000,65,2,ball_tree,0.771,0.1770009994506836,0.1770009994506836
4,4000,99,2,ball_tree,0.768,0.1719951629638672,0.1719951629638672
4,4000,3,30,ball_tree,0.745,0.1080009937286377,0.1080009937286377
4,4000,7,30,ball_tree,0.757,0.1139988899230957,0.1139988899230957
4,4000,9,30,ball_tree,0.76,0.11800050735473633,0.11800050735473633
4,4000,27,30,ball_tree,0.7645,0.15000033378601074,0.15000033378601074
4,4000,65,30,ball_tree,0.771,0.14400005340576172,0.14400005340576172
4,4000,99,30,ball_tree,0.768,0.1549992561340332,0.1549992561340332
4,4000,3,100,ball_tree,0.745,0.10899949073791504,0.10899949073791504
4,4000,7,100,ball_tree,0.757,0.11699938774108887,0.11699938774108887
4,4000,9,100,ball_tree,0.76,0.12200021743774414,0.12200021743774414
4,4000,27,100,ball_tree,0.7645,0.13200044631958008,0.13200044631958008
4,4000,65,100,ball_tree,0.771,0.14399981498718262,0.14399981498718262
4,4000,99,100,ball_tree,0.768,0.1630089282989502,0.1630089282989502
4,4000,3,2,kd_tree,0.745,0.16999244689941406,0.16999244689941406
4,4000,7,2,kd_tree,0.757,0.16499829292297363,0.16499829292297363
4,4000,9,2,kd_tree,0.76,0.14100003242492676,0.14100003242492676
4,4000,27,2,kd_tree,0.7645,0.194000244140625,0.194000244140625
4,4000,65,2,kd_tree,0.771,0.2370002269744873,0.2370002269744873
4,4000,99,2,kd_tree,0.768,0.21200013160705566,0.21200013160705566
4,4000,3,30,kd_tree,0.745,0.10599946975708008,0.10599946975708008
4,4000,7,30,kd_tree,0.757,0.11900043487548828,0.11900043487548828
4,4000,9,30,kd_tree,0.76,0.10800004005432129,0.10800004005432129
4,4000,27,30,kd_tree,0.7645,0.11899876594543457,0.11899876594543457
4,4000,65,30,kd_tree,0.771,0.1320023536682129,0.1320023536682129
4,4000,99,30,kd_tree,0.768,0.14599895477294922,0.14599895477294922
4,4000,3,100,kd_tree,0.745,0.10400032997131348,0.10400032997131348
4,4000,7,100,kd_tree,0.757,0.1080009937286377,0.1080009937286377
4,4000,9,100,kd_tree,0.76,0.12999844551086426,0.12999844551086426
4,4000,27,100,kd_tree,0.7645,0.13700008392333984,0.13700008392333984
4,4000,65,100,kd_tree,0.771,0.12999963760375977,0.12999963760375977
4,4000,99,100,kd_tree,0.768,0.1420001983642578,0.1420001983642578
4,4000,3,2,brute,0.745,0.2090013027191162,0.2090013027191162
4,4000,7,2,brute,0.757,0.221998929977417,0.221998929977417
4,4000,9,2,brute,0.76,0.21900081634521484,0.21900081634521484
4,4000,27,2,brute,0.7645,0.2239990234375,0.2239990234375
4,4000,65,2,brute,0.771,0.2520005702972412,0.2520005702972412
4,4000,99,2,brute,0.768,0.31799983978271484,0.31799983978271484
4,4000,3,30,brute,0.745,0.28100109100341797,0.28100109100341797
4,4000,7,30,brute,0.757,0.2780001163482666,0.2780001163482666
4,4000,9,30,brute,0.76,0.2729990482330322,0.2729990482330322
4,4000,27,30,brute,0.7645,0.24899959564208984,0.24899959564208984
4,4000,65,30,brute,0.771,0.2570006847381592,0.2570006847381592
4,4000,99,30,brute,0.768,0.2719993591308594,0.2719993591308594
4,4000,3,100,brute,0.745,0.2180008888244629,0.2180008888244629
4,4000,7,100,brute,0.757,0.28100085258483887,0.28100085258483887
