n_dimensions,n_samples,n_neigbors,leaf_size,algorithm,score,time_fit,time_predict
2,1000,7,30,ball_tree,0.976,0.02599930763244629,0.02599930763244629
2,1000,9,30,ball_tree,0.972,0.02499985694885254,0.02499985694885254
2,1000,27,30,ball_tree,0.976,0.028001785278320312,0.028001785278320312
2,1000,65,30,ball_tree,0.954,0.028998374938964844,0.028998374938964844
2,1000,99,30,ball_tree,0.948,0.031000375747680664,0.031000375747680664
2,1000,3,100,ball_tree,0.984,0.029999494552612305,0.029999494552612305
2,1000,7,100,ball_tree,0.976,0.027002573013305664,0.027002573013305664
2,1000,9,100,ball_tree,0.972,0.03399777412414551,0.03399777412414551
2,1000,27,100,ball_tree,0.976,0.029999494552612305,0.029999494552612305
2,1000,65,100,ball_tree,0.954,0.029999732971191406,0.029999732971191406
2,1000,99,100,ball_tree,0.948,0.035001516342163086,0.035001516342163086
2,1000,3,2,kd_tree,0.984,0.025998830795288086,0.025998830795288086
2,1000,7,2,kd_tree,0.976,0.0260009765625,0.0260009765625
2,1000,9,2,kd_tree,0.972,0.024999141693115234,0.024999141693115234
2,1000,27,2,kd_tree,0.976,0.03500103950500488,0.03500103950500488
2,1000,65,2,kd_tree,0.954,0.03300142288208008,0.03300142288208008
2,1000,99,2,kd_tree,0.948,0.03499746322631836,0.03499746322631836
2,1000,3,30,kd_tree,0.984,0.02400040626525879,0.02400040626525879
2,1000,7,30,kd_tree,0.976,0.025001049041748047,0.025001049041748047
2,1000,9,30,kd_tree,0.972,0.025999069213867188,0.025999069213867188
2,1000,27,30,kd_tree,0.976,0.0279996395111084,0.0279996395111084
2,1000,65,30,kd_tree,0.954,0.0299990177154541,0.0299990177154541
2,1000,99,30,kd_tree,0.948,0.03099989891052246,0.03099989891052246
2,1000,3,100,kd_tree,0.984,0.025000333786010742,0.025000333786010742
2,1000,7,100,kd_tree,0.976,0.02699899673461914,0.02699899673461914
2,1000,9,100,kd_tree,0.972,0.027002573013305664,0.027002573013305664
2,1000,27,100,kd_tree,0.976,0.030005693435668945,0.030005693435668945
2,1000,65,100,kd_tree,0.954,0.03200054168701172,0.03200054168701172
2,1000,99,100,kd_tree,0.948,0.03500056266784668,0.03500056266784668
2,1000,3,2,brute,0.984,0.03299427032470703,0.03299427032470703
2,1000,7,2,brute,0.976,0.03400754928588867,0.03400754928588867
2,1000,9,2,brute,0.972,0.03399181365966797,0.03399181365966797
2,1000,27,2,brute,0.976,0.03299880027770996,0.03299880027770996
2,1000,65,2,brute,0.954,0.03299903869628906,0.03299903869628906
2,1000,99,2,brute,0.948,0.03600168228149414,0.03600168228149414
2,1000,3,30,brute,0.984,0.028999805450439453,0.028999805450439453
2,1000,7,30,brute,0.976,0.03199887275695801,0.03199887275695801
2,1000,9,30,brute,0.972,0.030999422073364258,0.030999422073364258
2,1000,27,30,brute,0.976,0.03200030326843262,0.03200030326843262
2,1000,65,30,brute,0.954,0.03400111198425293,0.03400111198425293
2,1000,99,30,brute,0.948,0.03700137138366699,0.03700137138366699
2,1000,3,100,brute,0.984,0.0299985408782959,0.0299985408782959
2,1000,7,100,brute,0.976,0.038001060485839844,0.038001060485839844
2,1000,9,100,brute,0.972,0.03400111198425293,0.03400111198425293
2,1000,27,100,brute,0.976,0.03799891471862793,0.03799891471862793
2,1000,65,100,brute,0.954,0.037000179290771484,0.037000179290771484
2,1000,99,100,brute,0.948,0.0390012264251709,0.0390012264251709
2,2000,3,2,ball_tree,0.986,0.05199718475341797,0.05199718475341797
2,2000,7,2,ball_tree,0.98,0.05000114440917969,0.05000114440917969
2,2000,9,2,ball_tree,0.982,0.05300164222717285,0.05300164222717285
2,2000,27,2,ball_tree,0.974,0.0559995174407959,0.0559995174407959
2,2000,65,2,ball_tree,0.966,0.06299948692321777,0.06299948692321777
2,2000,99,2,ball_tree,0.949,0.07199954986572266,0.07199954986572266
2,2000,3,30,ball_tree,0.986,0.04800128936767578,0.04800128936767578
2,2000,7,30,ball_tree,0.98,0.05200648307800293,0.05200648307800293
2,2000,9,30,ball_tree,0.982,0.050992488861083984,0.050992488861083984
2,2000,27,30,ball_tree,0.974,0.05300116539001465,0.05300116539001465
2,2000,65,30,ball_tree,0.966,0.05899834632873535,0.05899834632873535
2,2000,99,30,ball_tree,0.949,0.06300020217895508,0.06300020217895508
2,2000,3,100,ball_tree,0.986,0.052001237869262695,0.052001237869262695
2,2000,7,100,ball_tree,0.98,0.05199933052062988,0.05199933052062988
2,2000,9,100,ball_tree,0.982,0.05300140380859375,0.05300140380859375
2,2000,27,100,ball_tree,0.974,0.05599808692932129,0.05599808692932129
2,2000,65,100,ball_tree,0.966,0.06299996376037598,0.06299996376037598
2,2000,99,100,ball_tree,0.949,0.069000244140625,0.069000244140625
2,2000,3,2,kd_tree,0.986,0.0520014762878418,0.0520014762878418
2,2000,7,2,kd_tree,0.98,0.05099916458129883,0.05099916458129883
2,2000,9,2,kd_tree,0.982,0.052999019622802734,0.052999019622802734
2,2000,27,2,kd_tree,0.974,0.053999900817871094,0.053999900817871094
2,2000,65,2,kd_tree,0.966,0.06300067901611328,0.06300067901611328
2,2000,99,2,kd_tree,0.949,0.07400035858154297,0.07400035858154297
2,2000,3,30,kd_tree,0.986,0.05199909210205078,0.05199909210205078
2,2000,7,30,kd_tree,0.98,0.05500054359436035,0.05500054359436035
2,2000,9,30,kd_tree,0.982,0.0540006160736084,0.0540006160736084
2,2000,27,30,kd_tree,0.974,0.06699848175048828,0.06699848175048828
2,2000,65,30,kd_tree,0.966,0.056001901626586914,0.056001901626586914
2,2000,99,30,kd_tree,0.949,0.06500005722045898,0.06500005722045898
2,2000,3,100,kd_tree,0.986,0.04800152778625488,0.04800152778625488
2,2000,7,100,kd_tree,0.98,0.047998905181884766,0.047998905181884766
2,2000,9,100,kd_tree,0.982,0.05000019073486328,0.05000019073486328
2,2000,27,100,kd_tree,0.974,0.053999900817871094,0.053999900817871094
2,2000,65,100,kd_tree,0.966,0.05900001525878906,0.05900001525878906
2,2000,99,100,kd_tree,0.949,0.06699991226196289,0.06699991226196289
2,2000,3,2,brute,0.986,0.07499980926513672,0.07499980926513672
2,2000,7,2,brute,0.98,0.07999992370605469,0.07999992370605469
2,2000,9,2,brute,0.982,0.07699966430664062,0.07699966430664062
2,2000,27,2,brute,0.974,0.07900166511535645,0.07900166511535645
2,2000,65,2,brute,0.966,0.08199882507324219,0.08199882507324219
2,2000,99,2,brute,0.949,0.08800029754638672,0.08800029754638672
2,2000,3,30,brute,0.986,0.07000017166137695,0.07000017166137695
2,2000,7,30,brute,0.98,0.07700014114379883,0.07700014114379883
2,2000,9,30,brute,0.982,0.07499885559082031,0.07499885559082031
2,2000,27,30,brute,0.974,0.07599997520446777,0.07599997520446777
2,2000,65,30,brute,0.966,0.08300042152404785,0.08300042152404785
2,2000,99,30,brute,0.949,0.08699965476989746,0.08699965476989746
2,2000,3,100,brute,0.986,0.07400131225585938,0.07400131225585938
2,2000,7,100,brute,0.98,0.07399988174438477,0.07399988174438477
2,2000,9,100,brute,0.982,0.0749976634979248,0.0749976634979248
2,2000,27,100,brute,0.974,0.08300161361694336,0.08300161361694336
2,2000,65,100,brute,0.966,0.08300089836120605,0.08300089836120605
2,2000,99,100,brute,0.949,0.10599803924560547,0.10599803924560547
2,4000,3,2,ball_tree,0.992,0.0950019359588623,0.0950019359588623
2,4000,7,2,ball_tree,0.9925,0.10299825668334961,0.10299825668334961
2,4000,9,2,ball_tree,0.9915,0.10200047492980957,0.10200047492980957
2,4000,27,2,ball_tree,0.995,0.11099982261657715,0.11099982261657715
2,4000,65,2,ball_tree,0.9965,0.12900090217590332,0.12900090217590332
2,4000,99,2,ball_tree,0.9895,0.1419985294342041,0.1419985294342041
2,4000,3,30,ball_tree,0.992,0.09599995613098145,0.09599995613098145
2,4000,7,30,ball_tree,0.9925,0.09900116920471191,0.09900116920471191
2,4000,9,30,ball_tree,0.9915,0.09900331497192383,0.09900331497192383
2,4000,27,30,ball_tree,0.995,0.10999584197998047,0.10999584197998047
2,4000,65,30,ball_tree,0.9965,0.12200021743774414,0.12200021743774414
2,4000,99,30,ball_tree,0.9895,0.1360006332397461,0.1360006332397461
2,4000,3,100,ball_tree,0.992,0.09799933433532715,0.09799933433532715
2,4000,7,100,ball_tree,0.9925,0.10399889945983887,0.10399889945983887
2,4000,9,100,ball_tree,0.9915,0.10700082778930664,0.10700082778930664
2,4000,27,100,ball_tree,0.995,0.11099910736083984,0.11099910736083984
2,4000,65,100,ball_tree,0.9965,0.12600088119506836,0.12600088119506836
2,4000,99,100,ball_tree,0.9895,0.13699960708618164,0.13699960708618164
2,4000,3,2,kd_tree,0.992,0.09800004959106445,0.09800004959106445
2,4000,7,2,kd_tree,0.9925,0.09900045394897461,0.09900045394897461
2,4000,9,2,kd_tree,0.9915,0.09999918937683105,0.09999918937683105
2,4000,27,2,kd_tree,0.995,0.1099996566772461,0.1099996566772461
2,4000,65,2,kd_tree,0.9965,0.12999987602233887,0.12999987602233887
2,4000,99,2,kd_tree,0.9895,0.15799927711486816,0.15799927711486816
2,4000,3,30,kd_tree,0.992,0.095001220703125,0.095001220703125
2,4000,7,30,kd_tree,0.9925,0.10000038146972656,0.10000038146972656
